size_sqft,bedrooms,age_years,distance_km,has_garage,crime_index,school_rating,price_usd
1752,4,22.6,15.57,0,37.7,7.1,241675
1080,2,33.5,15.77,0,48.2,6.5,132365
1975,4,0.0,14.5,0,48.9,6.6,276385
2070,6,15.7,12.64,1,49.2,6.6,386554
624,2,32.4,12.48,1,68.5,9.7,112574
949,1,21.0,11.67,0,30.3,5.3,158903
1664,3,42.0,12.45,0,80.5,5.1,187629
1442,4,0.0,12.85,1,49.5,5.7,279049
1592,3,0.0,1.57,1,58.7,6.9,257888
1173,3,31.5,5.26,1,51.9,7.8,199804
2040,6,33.0,3.83,1,24.1,7.9,288231
1989,4,17.1,16.64,1,34.2,8.4,330612
1633,3,26.0,19.92,1,42.1,6.8,265563
2164,7,31.2,0.1,0,64.9,6.4,306142
1834,5,7.8,19.39,1,29.2,9.5,329066
1170,3,9.4,10.52,0,37.2,2.8,136277
1784,4,22.8,16.08,1,52.5,7.1,281081
1121,2,33.6,13.04,1,57.1,7.6,162379
2039,4,2.5,18.64,0,56.6,9.8,338368
1575,5,17.0,11.26,0,35.2,4.5,243626
1508,3,16.3,1.82,0,26.0,6.4,262307
1260,4,26.3,9.37,0,58.1,5.0,217478
2211,5,19.9,13.09,0,71.5,4.3,293728
1523,3,11.8,8.7,1,44.8,6.7,242364
1386,3,38.7,13.95,1,32.8,8.2,185046
1424,1,11.9,9.61,1,43.6,8.8,217150
1866,5,15.6,6.43,1,55.9,6.2,344933
1783,4,0.0,3.48,1,46.5,8.0,322293
1806,5,9.3,7.65,1,71.1,6.7,264893
1815,3,27.7,11.23,0,63.9,7.8,295549
2671,8,24.8,0.1,0,52.8,8.7,432294
1397,4,29.0,5.32,0,20.7,6.7,244407
1344,4,28.3,0.1,0,39.6,8.6,243574
1193,3,51.3,6.3,1,41.8,5.2,186978
1908,6,8.8,17.18,0,38.8,8.0,248134
2164,4,0.0,2.88,0,52.9,8.6,367267
1543,4,4.2,14.22,1,53.2,8.4,200274
1180,2,9.4,27.09,0,24.9,5.2,177818
1188,2,5.4,18.72,1,62.1,6.7,182750
1925,4,21.4,10.8,0,50.2,7.5,302096
1972,5,38.8,15.15,1,55.4,7.7,293805
1872,4,43.1,1.78,1,61.2,7.2,309788
1267,3,27.6,0.56,1,38.5,9.1,229115
1716,3,52.1,10.17,0,68.9,5.1,221929
1658,2,14.7,12.39,1,47.9,6.6,253364
1709,5,0.0,16.57,1,72.7,4.5,307042
2036,6,35.8,6.59,0,36.6,7.9,328274
1712,3,0.0,11.16,0,71.6,7.8,224599
1939,5,8.7,10.95,0,36.4,10.0,299710
1634,5,27.8,9.21,0,88.2,8.5,265558
1745,5,18.5,9.57,1,35.7,7.5,317755
1916,5,17.1,4.87,1,65.8,7.4,289976
871,3,2.3,11.68,1,44.6,6.5,221390
1440,3,19.8,11.17,1,60.7,7.2,228385
1365,3,35.1,7.36,1,49.4,7.4,225412
1281,3,20.3,13.99,1,33.6,4.1,158682
1462,3,7.5,16.17,1,8.0,7.3,265467
2347,6,1.3,14.06,1,87.6,7.2,346918
1167,3,7.9,3.75,1,51.1,9.6,205007
2084,5,25.9,10.6,0,5.8,6.8,303582
759,1,25.2,4.53,1,54.5,5.9,162058
1433,4,8.0,10.58,0,60.3,7.4,239831
1681,3,0.0,4.55,1,39.3,7.1,256409
1893,5,26.3,17.66,0,39.4,6.8,257785
1956,5,6.5,14.7,1,49.7,5.1,331409
1997,5,30.3,16.92,0,68.0,6.8,270335
1426,2,8.7,16.31,1,51.5,6.1,223782
1369,4,5.2,8.38,1,71.9,6.7,251701
2029,5,22.3,7.45,0,67.0,8.1,220558
1504,5,55.4,20.45,1,46.6,6.0,240864
962,2,31.2,9.01,0,26.4,6.7,125947
1033,3,22.0,1.87,0,46.6,7.8,172692
1140,4,25.4,16.04,1,57.9,6.6,221419
1849,4,0.0,10.86,0,50.9,10.0,333529
1671,5,3.2,19.04,0,59.5,7.4,267376
1945,5,0.0,11.46,1,63.0,5.1,319549
1386,4,45.9,9.88,0,58.0,5.7,217538
1679,4,42.9,19.16,1,45.9,5.6,265560
1913,5,25.9,0.77,0,57.8,5.8,329034
1445,3,22.0,6.49,0,83.5,7.8,219505
1828,4,0.0,4.68,0,27.7,5.3,267130
1269,3,16.7,0.1,0,57.3,6.5,200783
1418,4,46.9,15.24,1,77.5,8.7,214481
1409,3,22.0,6.66,0,32.4,6.2,213229
1002,3,11.5,15.43,1,65.0,8.0,147910
1843,6,0.0,12.33,0,67.0,4.5,290610
1365,3,40.7,13.64,1,27.8,6.4,162405
1606,3,18.9,7.27,0,60.7,5.7,232832
1840,3,0.0,5.41,0,45.9,7.4,288523
1823,6,6.1,10.54,1,49.1,5.4,299604
1933,5,0.8,15.52,1,45.1,10.0,342404
1551,4,18.0,9.7,0,69.7,4.5,239462
1388,2,23.1,5.79,1,48.3,8.7,281475
1560,4,12.5,2.81,1,43.1,8.3,259571
756,2,31.7,11.22,0,43.3,7.5,126575
876,2,21.2,6.68,0,44.9,7.1,150263
939,3,35.9,9.57,0,33.8,9.8,167078
1101,5,14.6,8.57,0,42.9,10.0,180324
1800,4,65.7,7.33,0,51.8,6.7,211084
1147,2,11.5,11.76,0,56.1,7.2,174239
1411,3,6.5,13.33,0,68.1,6.2,167297
2250,7,4.6,21.79,1,53.6,5.2,329655
1422,4,16.8,14.55,1,42.9,7.7,216409
1969,5,0.0,19.56,1,34.8,7.4,301364
1133,3,24.4,5.09,1,54.4,4.6,210047
1497,3,0.0,0.39,0,48.2,7.7,224896
1125,4,22.4,9.91,1,48.7,7.4,219795
1430,3,0.0,15.15,0,53.9,6.1,198357
2020,5,14.3,14.21,0,57.8,6.0,279814
736,2,29.1,17.27,1,54.0,7.6,132025
1817,4,54.6,0.1,0,47.4,9.4,267904
1719,4,3.8,17.52,0,38.0,7.6,237770
1303,3,17.7,12.01,1,40.8,8.2,207120
877,3,9.1,0.74,1,62.7,5.8,126444
1636,5,7.0,14.34,1,43.6,6.4,275338
1335,4,9.3,11.02,1,29.8,7.9,158192
1716,5,32.4,12.29,1,67.4,5.0,273647
1611,4,12.7,15.99,0,35.9,7.3,258474
2401,5,53.7,12.58,0,50.5,7.7,365621
1480,4,26.2,1.16,1,57.4,6.9,301940
1088,3,4.8,9.14,1,50.0,7.5,220747
1690,3,14.5,0.29,1,12.8,7.1,266799
1710,4,8.0,13.89,0,55.9,6.1,305053
2280,6,32.0,18.39,1,69.9,5.2,289105
2018,5,0.0,2.55,1,61.8,6.9,284675
1778,6,0.0,5.97,0,18.1,9.0,359923
2332,6,11.1,4.71,0,81.9,8.5,375403
1006,4,30.2,7.28,1,30.1,6.5,135105
1280,3,38.5,12.47,0,33.8,6.5,147411
1137,3,40.7,7.34,0,61.7,6.3,178107
1405,3,27.9,13.92,1,56.8,6.3,185566
912,2,18.8,16.39,1,51.2,7.4,130320
1918,5,31.9,16.61,1,41.5,8.6,341841
1489,3,2.8,3.29,1,70.0,10.0,317743
865,2,0.0,18.32,1,49.4,5.8,146841
1092,2,26.5,18.8,0,26.5,8.0,153760
1757,5,4.9,19.32,0,68.5,7.8,286820
2019,5,19.0,9.05,1,53.3,6.5,297125
2598,6,21.8,5.49,0,66.7,5.5,316691
3057,8,23.7,4.09,1,58.6,7.4,398766
1807,4,34.1,3.39,1,85.9,10.0,286326
1105,1,32.5,10.07,1,45.4,7.4,188029
534,1,22.9,15.09,0,50.2,5.8,75139
1734,5,13.4,17.84,1,60.8,6.8,287192
1194,2,21.6,7.09,1,45.4,5.3,207730
1392,4,11.1,9.77,1,62.0,7.0,267175
1294,5,17.1,9.37,1,5.8,8.0,246604
1530,3,59.3,6.19,0,48.9,6.0,209627
2133,5,22.7,14.41,1,48.5,2.1,292669
1679,3,26.8,12.18,1,47.9,7.4,244139
1521,5,9.4,10.85,0,36.8,6.2,205123
1082,3,35.3,12.15,1,63.6,5.9,192407
763,2,31.4,13.69,1,42.4,5.9,111362
1357,4,31.5,13.63,1,53.0,7.6,203841
1573,4,23.2,4.97,0,49.4,6.4,227897
2484,6,35.5,15.38,1,57.5,8.4,330669
1665,4,39.1,11.53,0,71.5,8.4,236785
2091,6,24.2,7.39,0,52.9,6.6,328624
1350,3,18.3,11.41,1,62.6,6.2,190903
1008,1,33.4,12.07,0,52.2,7.2,162215
1117,3,6.4,16.49,0,42.4,6.8,165711
1237,2,9.2,3.72,0,47.9,4.4,147328
2664,8,19.2,17.95,1,45.7,9.9,451812
1189,3,0.0,10.14,1,58.5,8.1,217123
2019,4,32.4,6.96,1,51.6,6.3,319202
1149,2,5.6,6.78,0,38.1,4.1,195503
2066,4,12.9,3.99,0,46.7,6.7,286810
1792,4,16.8,0.1,0,27.1,6.1,268987
1522,5,20.6,14.06,1,47.2,6.9,272108
1580,6,14.8,21.89,0,50.0,3.8,270467
1273,4,19.0,0.29,0,77.1,6.3,210493
1823,4,19.1,4.3,1,70.2,6.4,267045
1373,3,13.3,14.51,1,34.5,6.7,259679
987,2,8.4,9.73,0,53.0,6.6,141791
961,4,36.2,15.01,1,53.3,7.1,168039
1686,4,0.0,9.39,0,46.5,9.3,266676
2390,8,16.9,6.52,0,47.5,6.2,379187
1680,5,13.0,8.64,0,44.7,5.6,236444
1541,2,26.3,0.1,1,78.1,4.4,214023
1743,4,0.0,3.14,0,43.8,6.2,263174
2253,5,12.5,15.69,0,55.1,4.9,329347
1710,4,18.5,17.15,0,12.1,8.4,264225
